"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"15-04-2021";"00:00";1,7;0,1;89;240;9,4;;13;0;1027;988;0
11012;"Kremsmünster";383;"15-04-2021";"00:00";2,4;-0,6;82;248;11,9;260;26,3;0;1026,9;978,7;0
11022;"Retz";320;"15-04-2021";"00:00";2,6;-3,7;63;321;13,3;319;27,4;0;1024,9;985,3;0
11035;"Wien/Hohe Warte";203;"15-04-2021";"00:00";4,7;-3,7;55;323;14,8;340;29,9;0;1024,3;998,5;0
11036;"Wien/Schwechat";183;"15-04-2021";"00:00";4,3;-2,8;60;330;18,4;;35,3;0;1024,3;1001,6;0
11101;"Bregenz";424;"15-04-2021";"00:00";3,6;-2,1;67;337;7,2;40;29,9;0;1026,1;972,6;0
11121;"Innsbruck";579;"15-04-2021";"00:00";2,1;-1,9;75;65;6,1;78;17,3;0;1026,9;955,6;0
11126;"Patscherkofel";2247;"15-04-2021";"00:00";-11,2;-12,8;89;52;7,9;62;16,2;0;;773,3;0
11130;"Kufstein";495;"15-04-2021";"00:00";0,8;-1,9;82;75;0,7;145;4,3;0;1027,7;967;0
11150;"Salzburg";430;"15-04-2021";"00:00";1,2;0,6;96;260;3,6;;13;0;1027,8;972,8;0
11155;"Feuerkogel";1618;"15-04-2021";"00:00";-6,5;-7,6;92;320;16,9;314;31,3;0,7;;838,5;0
11157;"Aigen im Ennstal";640;"15-04-2021";"00:00";0;-2;87;263;1,4;185;7,9;0;1028;948,2;0
11171;"Mariazell";866;"15-04-2021";"00:00";-3,3;-4,7;92;84;1,1;269;6,1;0;1027,5;922,1;0
11190;"Eisenstadt";184;"15-04-2021";"00:00";4,9;-3,4;55;288;6,5;5;27,4;0;1023,8;1001,2;0
11204;"Lienz";659;"15-04-2021";"00:00";1,8;-6,7;53;128;6,8;125;11,9;0;1025,6;944,6;0
11240;"Graz/Flughafen";340;"15-04-2021";"00:00";-0,9;-5,4;72;30;3,6;;9,4;0;1025,9;980,5;0
11244;"Bad Gleichenberg";280;"15-04-2021";"00:00";-0,5;-3,1;83;22;2,5;305;5,4;0;1025,4;991,3;0
11265;"Villacher Alpe";2140;"15-04-2021";"00:00";-10,1;-13,2;79;2;12,2;360;18;0;;782,6;0
11331;"Klagenfurt/Flughafen";447;"15-04-2021";"00:00";1;-4,9;65;304;5,4;302;7,2;0;1026,1;970,3;0
11343;"Sonnblick";3105;"15-04-2021";"00:00";-15;-16,8;88;45;19,8;49;24,1;;;690,1;0
11389;"St. Pölten";270;"15-04-2021";"00:00";2,3;-0,5;82;219;12,6;212;26,3;0;1025,9;992,4;0
